Document Name,Date,Status,Arbitrators,Arbitrator Status,Case Name
Partial Dissenting Opinion of Ricardo Ramírez Hernández,,Decided in favor of neither Party,,,"Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica, ICSID Case No. ARB/13/2"
Dissenting Opinion of Ricardo Ramírez Hernández (Decision on Jurisdiction),,Decided in favor of neither Party,,,"Cervin Investissements S.A. and Rhone Investissements S.A. v. Republic of Costa Rica, ICSID Case No. ARB/13/2"
Dissenting Opinion of Guido Santiago Tawil,,Decided in favor of State,"Claus von Wobeser, Guido Santiago Tawil, Alexis Mourre","Appointed by the State, Appointed by the investor, President","Charanne B.V. and Construction Investments S.A.R.L. v. Spain, SCC Case No. 062/2012"
Dissenting Opinion of Georges Abi-Saab (Decision on Respondent's Request for Reconsideration),,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Dissenting Opinion of Andreas Bucher,,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Dissenting Opinion of Georges Abi-Saab (Decision on Jurisdiction and Merits),,Pending (Annulment),,,"ConocoPhillips Petrozuata B.V., ConocoPhillips Hamaca B.V. and ConocoPhillips Gulf of Paria B.V. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/07/30"
Separate and Partial Dissenting Opinion of Professor Christian Tomuschat,,Decided in favor of investor,"Jacomijn J. van Haersolte-van Hof, Álvaro Rodrigo Castellanos Howell, Timothy J. Feighery","President of the Ad Hoc Committee, Member, Member","Cube Infrastructure Fund SICAV and others v. Kingdom of Spain, ICSID Case No. ARB/15/20"
Dissenting Opinion of Judge Charles N. Brower (Award),,Decided in favor of State,"Makhdoom Ali Khan, Florentino P. Feliciano, Eduardo Zuleta Jaramillo","Member, Member, President of the Ad Hoc Committee","Daimler Financial Services AG v. Argentine Republic, ICSID Case No. ARB/05/1"
Separate Dissenting Jurisdictional Statement of Michael Chertoff,,Decided in favor of State,,,"Detroit International Bridge Company v. Government of Canada, PCA Case No. 2012-25"
Dissenting Opinion of Makhdoom Ali Khan (Award),,Decided in favor of investor,"Makhdoom Ali Khan, David A.R. Williams, Bernard R. Hanotiau","Appointed by the State, Appointed by the investor, President","Deutsche Bank AG v. Democratic Socialist Republic of Sri Lanka, ICSID Case No. ARB/09/2"
Dissent regarding costs of Mr. Arthur W. Rovine (Award),,Decided in favor of State,,,"EDF (Services) Limited v. Republic of Romania, ICSID Case No. ARB/05/13"
Partial Dissenting Opinion of Robert Volterra (Final Award),,Decided in favor of investor,"Emmanuel Gaillard, Robert Volterra, Pierre A. Karrer","Appointed by the State, Appointed by the investor, President","Eastern Sugar B.V. v. The Czech Republic, SCC Case No. 088/2004"
Partial Dissenting Opinion of Mr. Horacio A. Grigera Naón,,Decided in favor of State,"Horacio A. Grigera Naón, Patrick Barrera Sweeney, James R. Crawford","Appointed by the investor, Appointed by the State, President","EnCana Corporation v. Republic of Ecuador, LCIA Case No. UN3481"
Dissenting Opinion on Jurisdiction of Dominic Pellew,,Decided in favor of investor,"Victor Volcinski, Dominic Pellew, Mikhail Savransky","Appointed by the State, President, Appointed by the investor",Energoalians LLC v. Republic of Moldova
Dissenting Opinion by Arbitrator Emmanuel Gaillard,,Decided in favor of State,,,"EuroGas Inc. and Belmont Resources Inc. v. Slovak Republic, ICSID Case No. ARB/14/14"
Partial Dissent of Professor Raúl Emilio Vinuesa (Award),,Decided in favor of investor,"Raúl E. Vinuesa, Henri C. Álvarez, Juan Fernández-Armesto","Appointed by the State, Appointed by the investor, President","Flughafen Zürich A.G. and Gestión e Ingenería IDC S.A. v. Bolivarian Republic of Venezuela, ICSID Case No. ARB/10/19"
Dissenting Opinion of Mr. Bernardo M. Cremades (Award),,Decided in favor of State,"W. Michael Reisman, Bernardo M. Cremades Sanz-Pastor, L. Yves Fortier","Appointed by the State, Appointed by the investor, President","Fraport AG Frankfurt Airport Services Worldwide v. Republic of the Philippines (I), ICSID Case No. ARB/03/25"
Dissenting Opinion by Laurence Boisson de Chazournes (Decision on the Objection to Jurisdiction for Lack of Consent),,Decided in favor of investor,"John M. Townsend, George Constantine Lambrou, Laurence Boisson de Chazournes","President, Appointed by the investor, Appointed by the State","Garanti Koza LLP v. Turkmenistan, ICSID Case No. ARB/11/20"
Dissenting Opinion by Arbitrator Gary Born,,Decided in favor of State,,,"Global Telecom Holding S.A.E. v. Canada, ICSID Case No. ARB/16/16"
Dissenting opinion of Giorgio Sacerdoti,,Decided in favor of investor,"William W. Park, Giorgio Sacerdoti, David R. Haigh","President, Appointed by the State, Appointed by the investor","Greentech Energy Systems A/S, NovEnergia II Energy & Environment (SCA) SICAR, and NovEnergia II Italian Portfolio SA v. The Italian Republic, SCC Case No. V 2015/095"
Dissenting Opinion of Professor Francisco Orrego Vicuña,,Decided in favor of State,,,"Grupo Francisco Hernando Contreras v. Republic of Equatorial Guinea, ICSID Case No. ARB(AF)/12/2"
Dissenting Opinion of co-arbitrator Manuel Conthe (Award),,Decided in favor of investor,"Raúl E. Vinuesa, Manuel Conthe Gutiérrez, José-Miguel Júdice","Appointed by the State, Appointed by the investor, President","Guaracachi America, Inc. and Rurelec PLC v. The Plurinational State of Bolivia, PCA Case No. 2011-17"
Dissenting Opinion of Judge Charles N. Brower (Partial Award),,Decided in favor of State,"Peter Tomka, Charles N. Brower, Franklin Berman","Appointed by the State, Appointed by the investor, President","HICEE B.V. v. The Slovak Republic, PCA Case No. 2009-11"
"Separate and Dissenting Opinion of J. Christopher Thomas, Q.C. (Decision on Jurisdiction)",,Discontinued,"J. Christopher Thomas, Charles N. Brower, Vaughan Lowe","Appointed by the State, Appointed by the investor, President","HOCHTIEF Aktiengesellschaft v. Argentine Republic, ICSID Case No. ARB/07/31"
"A Separate Opinion and A Statement of Dissent By Omar Nabulsi, member of the ad hoc Committee",,Decided in favor of State,,,"Hussein Nauman Soufraki v. United Arab Emirates, ICSID Case No. ARB/02/7"
Dissenting Opinion by Arbitrator Guido Santiago Tawil,,Decided in favor of State,,,"IC Power Asia Development Ltd. v. Republic of Guatemala, PCA Case No. 2019-43"
Dissenting Opinion by Mr. Prosper Weil (Decision on Jurisdiction),,Decided in favor of State,"Piero Bernardini, Daniel M. Price, Prosper Weil","Appointed by the State, Appointed by the investor, President",ICSID Case No. ARB/02/18
Dissenting Opinion by Mr. Daniel M. Price (Award),,Decided in favor of State,"Piero Bernardini, Daniel M. Price, Prosper Weil","Appointed by the State, Appointed by the investor, President",ICSID Case No. ARB/02/18
Dissenting Opinion of José Luis Shaw,,Decided in favor of State,"José Luis Shaw, Piero Bernardini, Enrique Barros Bourie","Member, Member, President of the Ad Hoc Committee","Iberdrola Energía, S.A. v. Republic of Guatemala (I), ICSID Case No. ARB/09/5"
Concurring and Dissenting Opinion of Judge Charles N. Brower (Award),,Decided in favor of investor,,,"Impregilo S.p.A. v. Argentine Republic (I), ICSID Case No. ARB/07/17"
Concurring and Dissenting Opinion of Professor Brigitte Stern (Award),,Decided in favor of investor,,,"Impregilo S.p.A. v. Argentine Republic (I), ICSID Case No. ARB/07/17"
Dissenting Opinion of Sir Franklin Berman,,Decided in favor of State,,,"Industria Nacional de Alimentos, S.A. and Indalsa Perú, S.A. (formerly Empresas Lucchetti, S.A. and Lucchetti Perú, S.A.) v. Republic of Peru, ICSID Case No. ARB/03/4"
Partial Dissenting Opinion by Pierre-Marie Dupuy,,Decided in favor of investor,"Yuejiao Zhang, Karim S. Hafez, José-Miguel Júdice","Member, Member, President of the Ad Hoc Committee","InfraRed Environmental Infrastructure GP Limited and others v. Kingdom of Spain, ICSID Case No. ARB/14/12"
Dissenting Opinion of Mr. Henri Álvarez (Award),,Decided in favor of State,"Brigitte Stern, Henri C. Álvarez, L. Yves Fortier","Appointed by the State, Appointed by the investor, President","InterTrade Holding GmbH v. The Czech Republic, PCA Case No. 2009-12"
