Document Name,Date,Status,Arbitrators,Arbitrator Status,Case Name
Dissenting Opinion of Mrs. Susana Czar de Zalduendo (Award),,Decided in favor of State,"W. Michael Reisman, Susana B. Czar de Zalduendo, Claus von Wobeser","Appointed by the State, Appointed by the investor, President","Sociedad Anónima Eduardo Vieira v. Republic of Chile, ICSID Case No. ARB/04/7"
Dissenting Opinion of Mr. Osvaldo Cesar Guglielmino,,Decided in favor of investor,,,"South American Silver Limited v. The Plurinational State of Bolivia, PCA Case No. 2013-15"
Partial Dissenting Opinion of Professor Robert G. Volterra,,Decided in favor of neither Party,,,"Spółdzielnia Pracy Muszynianka v. Slovak Republic, PCA Case No. 2017-08/AA629"
Dissenting Opinion by Professor Kaj Hobér,,Decided in favor of State,,,"Stadtwerke München GmbH and others v. Kingdom of Spain, ICSID Case No. ARB/15/1"
Partial Dissenting Opinion by Arbitrator Nassib G. Ziadé,,Decided in favor of investor,,,"Strabag SE v. Libya, ICSID Case No. ARB(AF)/15/1"
Dissenting Opinion of Joseph P. Klock,,Decided in favor of State,,,"Supervision y Control S.A. v. Republic of Costa Rica, ICSID Case No. ARB/12/4"
Dissenting Opinion of Gladys Chacón Corado,,Decided in favor of investor,"Rodrigo Oreamuno, Claus von Wobeser, William W. Park, Alexis Mourre","Appointed by the State (resigned), Appointed by the State, Appointed by the investor, President","TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
Dissenting Opinion of Mario Pérez Guerra,,Decided in favor of investor,"Rodrigo Oreamuno, Claus von Wobeser, William W. Park, Alexis Mourre","Appointed by the State (resigned), Appointed by the State, Appointed by the investor, President","TECO Guatemala Holdings, LLC v. Republic of Guatemala, ICSID Case No. ARB/10/23"
Dissenting Opinion of Arbitrator Grant D. Aldonas (Award),,Decided in favor of State,,,"TSA Spectrum de Argentina S.A. v. Argentine Republic, ICSID Case No. ARB/05/5"
Dissenting Opinion of Dr. Kamal Hossain,,Decided in favor of investor,,,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. Argentine Republic, ICSID Case No. ARB/09/1"
Dissenting Opinion of Kamal Hossain,,Decided in favor of investor,,,"Teinver S.A., Transportes de Cercanías S.A. and Autobuses Urbanos del Sur S.A. v. Argentine Republic, ICSID Case No. ARB/09/1"
Dissenting Opinion of Arbitrator Alexandrov,,Decided in favor of State,,,"Thomas Gosling and others v. Republic of Mauritius, ICSID Case No. ARB/16/32"
Award including Dissenting Opinions of Mr. Henri Álvarez and Mr. Luis Herrera Marcano - 27 Nov 2013,27 November 2013,Decided in favor of investor,"Luis Herrera Marcano, Henri C. Álvarez, Giorgio Sacerdoti","Appointed by the State, Appointed by the investor, President","Total S.A. v. Argentine Republic, ICSID Case No. ARB/04/1"
Dissenting Opinion of Henri Álvarez (Decision on Liability),,Decided in favor of investor,"Luis Herrera Marcano, Henri C. Álvarez, Giorgio Sacerdoti","Appointed by the State, Appointed by the investor, President","Total S.A. v. Argentine Republic, ICSID Case No. ARB/04/1"
Dissenting Opinion on Costs of August Reinisch,,Decided in favor of investor,"Geneviève Bastid Burdeau, Andrés Rigo Sureda, Loretta Malintoppi, Makhdoom Ali Khan","Member, Member, President of the Ad Hoc Committee, Member (resigned)","UAB E energija v. Republic of Latvia, ICSID Case No. ARB/12/33"
"Dissent of Sir David A.R. Williams KNZM, QC.",,Decided in favor of State,,,"United Utilities (Tallinn) B.V. and Aktsiaselts Tallinna Vesi v. Republic of Estonia, ICSID Case No. ARB/14/24"
Dissenting Opinion of Arbitrator Mark Clodfelter,,Decided in favor of investor,,,"Unión Fenosa Gas, S.A. v. Arab Republic of Egypt, ICSID Case No. ARB/14/4"
Partial Dissenting Opinion of Professor Francisco Orrego Vicuña,,Decided in favor of State,,,"Vincent J. Ryan, Schooner Capital LLC, and Atlantic Investment Partners LLC v. Republic of Poland, ICSID Case No. ARB(AF)/11/3"
Dissenting Opinion of Professor Francisco Orrego Vicuña (Award),,Decided in favor of investor,"Francisco Orrego Vicuña, Michael C. Pryles, David A.R. Williams","Appointed by the State, Appointed by the investor, President","Waguih Elie George Siag and Clorinda Vecchi v. Arab Republic of Egypt, ICSID Case No. ARB/05/15"
Partial Dissenting Opinion of Professor Francisco Orrego Vicuña (Decision on Jurisdiction),,Decided in favor of investor,"Francisco Orrego Vicuña, Michael C. Pryles, David A.R. Williams","Appointed by the State, Appointed by the investor, President","Waguih Elie George Siag and Clorinda Vecchi v. Arab Republic of Egypt, ICSID Case No. ARB/05/15"
Dissenting Opinion of Keith Highet (Arbitral Award),,Decided in favor of State,,,"Waste Management, Inc. v. United Mexican States (I), ICSID Case No. ARB(AF)/98/2"
Dissent on Liability and Quantum of Prof. Dr. Hélène Ruiz Fabri,,Decided in favor of investor,,,"Watkins Holdings S.à r.l. and others v. Kingdom of Spain, ICSID Case No. ARB/15/44"
Dissenting opinion by Professor Donald McRae,,Pending,"Bruno Simma, Bryan Schwartz, Donald M. McRae","President, Appointed by the investor, Appointed by the State","William Ralph Clayton, William Douglas Clayton, Daniel Clayton and Bilcon of Delaware, Inc. v. Government of Canada, PCA Case No. 2009-04"
Dissenting Opinion of J. William Rowley QC,,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Professor Brigitte Stern,,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Professor Brigitte Stern,,Decided in favor of investor,"Brigitte Stern, J. William F. Rowley, Alan Campbell McLachlan","Appointed by the State, Appointed by the investor, President","Yukos Capital SARL v. The Russian Federation, PCA Case No. 2013-31"
Dissenting Opinion of Tolga Ayoglu,,Decided in favor of State,,,"Öztaş Construction, Construction Materials Trading Inc. v. State of Libya, ICC Case No. 21603/ZF/AYZ"
Partially Dissenting Opinion of Professor Philippe Sands,,Decided in favor of State,,,"İçkale İnşaat Limited Şirketi v. Turkmenistan, ICSID Case No. ARB/10/24"
Partially Dissenting Opinion of Carolyn B. Lamm,,Decided in favor of State,,,"İçkale İnşaat Limited Şirketi v. Turkmenistan, ICSID Case No. ARB/10/24"
